recordIndex,PUBCHEM_COMPOUND_CID,PUBCHEM_COMPOUND_CANONICALIZED,PUBCHEM_CACTVS_COMPLEXITY,PUBCHEM_CACTVS_HBOND_ACCEPTOR,PUBCHEM_CACTVS_HBOND_DONOR,PUBCHEM_CACTVS_ROTATABLE_BOND,PUBCHEM_CACTVS_SUBSKEYS,PUBCHEM_IUPAC_OPENEYE_NAME,PUBCHEM_IUPAC_CAS_NAME,PUBCHEM_IUPAC_NAME_MARKUP,PUBCHEM_IUPAC_NAME,PUBCHEM_IUPAC_SYSTEMATIC_NAME,PUBCHEM_IUPAC_TRADITIONAL_NAME,PUBCHEM_IUPAC_INCHI,PUBCHEM_IUPAC_INCHIKEY,PUBCHEM_XLOGP3,PUBCHEM_EXACT_MASS,PUBCHEM_MOLECULAR_FORMULA,PUBCHEM_MOLECULAR_WEIGHT,PUBCHEM_CACTVS_TPSA,PUBCHEM_MONOISOTOPIC_WEIGHT,PUBCHEM_TOTAL_CHARGE,PUBCHEM_HEAVY_ATOM_COUNT,PUBCHEM_ATOM_DEF_STEREO_COUNT,PUBCHEM_ATOM_UDEF_STEREO_COUNT,PUBCHEM_BOND_DEF_STEREO_COUNT,PUBCHEM_BOND_UDEF_STEREO_COUNT,PUBCHEM_ISOTOPIC_ATOM_COUNT,PUBCHEM_COMPONENT_COUNT,PUBCHEM_CACTVS_TAUTO_COUNT,PUBCHEM_COORDINATE_TYPE,PUBCHEM_BONDANNOTATIONS,smiles,inchiKey,PUBCHEM_XLOGP3_AA,PUBCHEM_NONSTANDARDBOND,Canonical_SMILES
-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,UGQMRVRMYYASKQ-KQYNXXCUSA-N,,,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
0,135398640,1,555,10,5,4,AAADccBzvAIAAAAAAAAAAAAAAAAAAWJAAAAgAAAAAAAAAEABgAAAHgAQCCAACBzhlgYFsBfMFxCoQQdxdICAgC0XEKABUIGoVECDWApAyCAeQIgPAgLTAGDwMAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,"[(2R,3S,4R,5R)-3,4-dihydroxy-5-(6-oxo-1H-purin-9-yl)tetrahydrofuran-2-yl]methyl dihydrogen phosphate","[(2R,3S,4R,5R)-3,4-dihydroxy-5-(6-oxo-1H-purin-9-yl)-2-oxolanyl]methyl dihydrogen phosphate","[(2<I>R</I>,3<I>S</I>,4<I>R</I>,5<I>R</I>)-3,4-dihydroxy-5-(6-oxo-1<I>H</I>-purin-9-yl)oxolan-2-yl]methyl dihydrogen phosphate","[(2R,3S,4R,5R)-3,4-dihydroxy-5-(6-oxo-1H-purin-9-yl)oxolan-2-yl]methyl dihydrogen phosphate","[(2R,3S,4R,5R)-3,4-bis(oxidanyl)-5-(6-oxidanylidene-1H-purin-9-yl)oxolan-2-yl]methyl dihydrogen phosphate","[(2R,3S,4R,5R)-3,4-dihydroxy-5-(6-keto-1H-purin-9-yl)tetrahydrofuran-2-yl]methyl dihydrogen phosphate","InChI=1S/C10H13N4O8P/c15-6-4(1-21-23(18,19)20)22-10(7(6)16)14-3-13-5-8(14)11-2-12-9(5)17/h2-4,6-7,10,15-16H,1H2,(H,11,12,17)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",GRSZFWQUAKGDAV-KQYNXXCUSA-N,-3,348.04710038,C10H13N4O8P,348.21,176,348.04710038,0,23,4,0,0,0,0,1,-1,"1
5
255","16  10  6
10  19  8
10  20  8
11  20  8
11  21  8
12  19  8
12  23  8
13  22  8
13  23  8
17  18  6
19  21  8
21  22  8
14  3  5
15  4  5",[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(=O)n([H])c([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])O[H],GRSZFWQUAKGDAV-KQYNXXCUSA-N,,,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
1,135398641,1,405,7,4,2,AAADccBzuAAAAAAAAAAAAAAAAAAAAWJAAAAgAAAAAAAAAEABgAAAHgAQCAAACBzhlgYFsBfMFgCoAQdxdACAgC0XEKABUIGoVECDWApAyCAeQIgPAgLTAGDwMAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,"9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]-1H-purin-6-one","9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)-2-oxolanyl]-1H-purin-6-one","9-[(2<I>R</I>,3<I>R</I>,4<I>S</I>,5<I>R</I>)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1<I>H</I>-purin-6-one","9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","9-[(2R,3R,4S,5R)-5-(hydroxymethyl)-3,4-bis(oxidanyl)oxolan-2-yl]-1H-purin-6-one","9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-methylol-tetrahydrofuran-2-yl]hypoxanthine","InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10-/m1/s1",UGQMRVRMYYASKQ-KQYNXXCUSA-N,-1.3,268.08076950,C10H12N4O5,268.23,129,268.08076950,0,19,4,0,0,0,0,1,-1,"1
5
255","13  14  6
15  17  8
17  18  8
10  2  5
12  3  5
11  6  6
6  15  8
6  16  8
7  16  8
7  17  8
8  15  8
8  19  8
9  18  8
9  19  8",[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(=O)n([H])c([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],UGQMRVRMYYASKQ-KQYNXXCUSA-N,,,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
2,135398739,1,348,5,2,2,AAADccBzsAAAAAAAAAAAAAAAAAAAAWJAAAAgAAAAAAAAAEABgAAAHgAQCAAACBzhlgYFsBfMFgCoAQdxdACAgC0XEKABUIGoVECBWApAyCAeQIgMAgLDAGCwMAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,"9-[(2R,5S)-5-(hydroxymethyl)tetrahydrofuran-2-yl]-1H-purin-6-one","9-[(2R,5S)-5-(hydroxymethyl)-2-oxolanyl]-1H-purin-6-one","9-[(2<I>R</I>,5<I>S</I>)-5-(hydroxymethyl)oxolan-2-yl]-1<I>H</I>-purin-6-one","9-[(2R,5S)-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","9-[(2R,5S)-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","9-[(2R,5S)-5-methyloltetrahydrofuran-2-yl]hypoxanthine","InChI=1S/C10H12N4O3/c15-3-6-1-2-7(17-6)14-5-13-8-9(14)11-4-12-10(8)16/h4-7,15H,1-3H2,(H,11,12,16)/t6-,7+/m0/s1",BXZVVICBKDXVGW-NKWVEPMBSA-N,-1.2,236.09094026,C10H12N4O3,236.23,88.7,236.09094026,0,17,2,0,0,0,0,1,-1,"1
5
255","11  12  6
13  15  8
15  16  8
4  13  8
4  14  8
8  4  6
5  14  8
5  15  8
6  13  8
6  17  8
7  16  8
7  17  8",[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(=O)n([H])c([H])nc32)C([H])([H])C1([H])[H],BXZVVICBKDXVGW-NKWVEPMBSA-N,,,O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1
3,135398635,1,446,7,5,2,AAADccBzuAAAAAAAAAAAAAAAAAAAAWJAAAAgAAAAAAAAAEABgAAAHgAQCAAACBzhlgYFsBfMFgCoAQdxdACAgC0XEKABUAGoVECDWApAyCAeQIgPAQLTAGDwMAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,"2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]-1H-purin-6-one","2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)-2-oxolanyl]-1H-purin-6-one","2-amino-9-[(2<I>R</I>,3<I>R</I>,4<I>S</I>,5<I>R</I>)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1<I>H</I>-purin-6-one","2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","2-azanyl-9-[(2R,3R,4S,5R)-5-(hydroxymethyl)-3,4-bis(oxidanyl)oxolan-2-yl]-1H-purin-6-one","2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-methylol-tetrahydrofuran-2-yl]hypoxanthine","InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)/t3-,5-,6-,9-/m1/s1",NYHBQMYGNKIUIF-UUOKFMHZSA-N,-1.9,283.09166853,C10H13N5O5,283.24,155,283.09166853,0,20,4,0,0,0,0,1,-1,"1
5
255","14  15  5
16  18  8
18  19  8
11  2  6
13  3  6
12  6  5
6  16  8
6  17  8
7  17  8
7  18  8
8  16  8
8  20  8
9  19  8
9  20  8",[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(=O)n([H])c(N([H])[H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],NYHBQMYGNKIUIF-UUOKFMHZSA-N,,,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
4,17513,1,330,7,5,3,AAADccBzuAAAAAAAAAAAAAAAAAAAAWJAAAAAAAAAAAAAAAABgAAAHgAQCAAACBzhlgYFsBdMFgCoAQdxdACAgC0XEKABUAGoVECDWApAyCAeQIAPAALTAGDwMAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,"5-amino-1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]imidazole-4-carboxamide","5-amino-1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)-2-oxolanyl]-4-imidazolecarboxamide","5-amino-1-[(2<I>R</I>,3<I>R</I>,4<I>S</I>,5<I>R</I>)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]imidazole-4-carboxamide","5-amino-1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]imidazole-4-carboxamide","5-azanyl-1-[(2R,3R,4S,5R)-5-(hydroxymethyl)-3,4-bis(oxidanyl)oxolan-2-yl]imidazole-4-carboxamide","5-amino-1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-methylol-tetrahydrofuran-2-yl]imidazole-4-carboxamide","InChI=1S/C9H14N4O5/c10-7-4(8(11)17)12-2-13(7)9-6(16)5(15)3(1-14)18-9/h2-3,5-6,9,14-16H,1,10H2,(H2,11,17)/t3-,5-,6-,9-/m1/s1",RTRQQBHATOEIAF-UUOKFMHZSA-N,,258.09641956,C9H14N4O5,258.23,157,258.09641956,0,18,4,0,0,0,0,1,-1,"1
5
255","13  14  6
15  17  8
10  2  5
12  3  5
11  6  6
6  15  8
6  16  8
7  16  8
7  17  8",[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc(C(=O)N([H])[H])c2N([H])[H])[C@]([H])(O[H])[C@]1([H])O[H],RTRQQBHATOEIAF-UUOKFMHZSA-N,-2.2,,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1N
5,135398592,1,417,6,4,2,AAADccBzuAAAAAAAAAAAAAAAAAAAAWJAAAAgAAAAAAAAAEABgAAAHgAQCAAACBzhlgYFsBfMFgCoAQdxdACAgC0XEKABUAGoVECBWApAyCAeQIgPAQLDAGCwMAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,"2-amino-9-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]-1H-purin-6-one","2-amino-9-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)-2-oxolanyl]-1H-purin-6-one","2-amino-9-[(2<I>R</I>,4<I>S</I>,5<I>R</I>)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-1<I>H</I>-purin-6-one","2-amino-9-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","2-azanyl-9-[(2R,4S,5R)-5-(hydroxymethyl)-4-oxidanyl-oxolan-2-yl]-1H-purin-6-one","2-amino-9-[(2R,4S,5R)-4-hydroxy-5-methylol-tetrahydrofuran-2-yl]hypoxanthine","InChI=1S/C10H13N5O4/c11-10-13-8-7(9(18)14-10)12-3-15(8)6-1-4(17)5(2-16)19-6/h3-6,16-17H,1-2H2,(H3,11,13,14,18)/t4-,5+,6+/m0/s1",YKBGVTZYEHREMT-KVQBGUIXSA-N,-0.9,267.09675391,C10H13N5O4,267.24,135,267.09675391,0,19,3,0,0,0,0,1,-1,"1
5
255","13  14  5
15  17  8
17  18  8
11  2  6
10  5  5
5  15  8
5  16  8
6  16  8
6  17  8
7  15  8
7  19  8
8  18  8
8  19  8",[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(=O)n([H])c(N([H])[H])nc32)C([H])([H])[C@]1([H])O[H],YKBGVTZYEHREMT-KVQBGUIXSA-N,,,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1
6,135398631,1,598,10,6,4,AAADccBzvAIAAAAAAAAAAAAAAAAAAWJAAAAgAAAAAAAAAEABgAAAHgAQCCAACBzhlgYFsBfMFxCoQQdxdICAgC0XEKABUAGoVECDWApAyCAeQIgPAQLTAGDwMAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,"[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methyl dihydrogen phosphate","[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxy-2-oxolanyl]methyl dihydrogen phosphate","[(2<I>R</I>,3<I>S</I>,4<I>R</I>,5<I>R</I>)-5-(2-amino-6-oxo-1<I>H</I>-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate","[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate","[(2R,3S,4R,5R)-5-(2-azanyl-6-oxidanylidene-1H-purin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methyl dihydrogen phosphate","[(2R,3S,4R,5R)-5-(2-amino-6-keto-1H-purin-9-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methyl dihydrogen phosphate","InChI=1S/C10H14N5O8P/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(23-9)1-22-24(19,20)21/h2-3,5-6,9,16-17H,1H2,(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1",RQFCJASXJCIDSX-UUOKFMHZSA-N,-3.5,363.05799942,C10H14N5O8P,363.22,202,363.05799942,0,24,4,0,0,0,0,1,-1,"1
5
255","17  10  5
10  20  8
10  21  8
11  21  8
11  22  8
12  20  8
12  24  8
13  23  8
13  24  8
18  19  5
20  22  8
22  23  8
15  3  6
16  4  6",[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(=O)n([H])c(N([H])[H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])O[H],RQFCJASXJCIDSX-UUOKFMHZSA-N,,,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
7,135398570,1,616,9,4,1,AAADccBzuAIAAAAAAAAAAAAAAAAAAWJAAAAkQAAAAAAAAEgBgAAAHgAQCCAACBzhlgYFsBfMFxCoQQdxdICAgC0XEKABUAGoVECDWApAyCAeQIgPAQLTAGDwMAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,"9-[(4aR,6R,7R,7aS)-2,7-dihydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-6-yl]-2-amino-1H-purin-6-one","9-[(4aR,6R,7R,7aS)-2,7-dihydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphorin-6-yl]-2-amino-1H-purin-6-one","9-[(4<I>a</I><I>R</I>,6<I>R</I>,7<I>R</I>,7<I>a</I><I>S</I>)-2,7-dihydroxy-2-oxo-4<I>a</I>,6,7,7<I>a</I>-tetrahydro-4<I>H</I>-furo[3,2-d][1,3,2]dioxaphosphinin-6-yl]-2-amino-1<I>H</I>-purin-6-one","9-[(4aR,6R,7R,7aS)-2,7-dihydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-6-yl]-2-amino-1H-purin-6-one","9-[(4aR,6R,7R,7aS)-2,7-bis(oxidanyl)-2-oxidanylidene-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-6-yl]-2-azanyl-1H-purin-6-one","9-[(4aR,6R,7R,7aS)-2,7-dihydroxy-2-keto-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphorin-6-yl]-2-amino-hypoxanthine","InChI=1S/C10H12N5O7P/c11-10-13-7-4(8(17)14-10)12-2-15(7)9-5(16)6-3(21-9)1-20-23(18,19)22-6/h2-3,5-6,9,16H,1H2,(H,18,19)(H3,11,13,14,17)/t3-,5-,6-,9-/m1/s1",ZOOGRGPOEVQQDX-UUOKFMHZSA-N,,345.04743474,C10H12N5O7P,345.21,171,345.04743474,0,23,4,0,0,0,0,1,-1,"1
5
255","10  20  8
10  21  8
11  19  8
11  23  8
12  22  8
12  23  8
14  24  5
15  25  6
19  21  8
21  22  8
16  5  6
17  9  5
9  19  8
9  20  8",[H]O[C@]1([H])[C@]2([H])OP(=O)(O[H])OC([H])([H])[C@@]2([H])O[C@@]1([H])n1c([H])nc2c(=O)n([H])c(N([H])[H])nc21,ZOOGRGPOEVQQDX-UUOKFMHZSA-N,-3.4,,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]3[C@H]2O)c(=O)[nH]1
8,135398619,1,760,13,7,6,AAADccBzvAMAAAAAAAAAAAAAAAAAAWJAAAAgAAAAAAAAAEABgAAAHgAQCCAACBzhlgYFsBfMFxCoQQdxdICAgC0XEKABUAGoVECDWApAyCAeQIgPAQLTAGDwMAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,"[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methyl phosphono hydrogen phosphate","[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxy-2-oxolanyl]methyl phosphono hydrogen phosphate","[(2<I>R</I>,3<I>S</I>,4<I>R</I>,5<I>R</I>)-5-(2-amino-6-oxo-1<I>H</I>-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate","[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate","[(2R,3S,4R,5R)-5-(2-azanyl-6-oxidanylidene-1H-purin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methyl phosphono hydrogen phosphate","[(2R,3S,4R,5R)-5-(2-amino-6-keto-1H-purin-9-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methyl phosphono hydrogen phosphate","InChI=1S/C10H15N5O11P2/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(25-9)1-24-28(22,23)26-27(19,20)21/h2-3,5-6,9,16-17H,1H2,(H,22,23)(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1",QGWNDRXFNXRZMB-UUOKFMHZSA-N,-4.6,443.02433031,C10H15N5O11P2,443.20,248,443.02433031,0,28,4,0,0,0,0,1,-1,"1
5
255","21  14  5
14  24  8
14  25  8
15  25  8
15  26  8
16  24  8
16  28  8
17  27  8
17  28  8
22  23  5
24  26  8
26  27  8
19  4  6
20  5  6",[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(=O)n([H])c(N([H])[H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H],QGWNDRXFNXRZMB-UUOKFMHZSA-N,,,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
9,135398633,1,927,16,8,8,AAADceBzvAMAAAAAAAAAAAAAAAAAAWJAAAAgAAAAAAAAAEABgAAAHgAQCCAACBzhlgYFsBfMFxCoQQdxdICAgC0XEKABUAGoVECDWApAyCAeQIgPAQLTAGDwMAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,"[[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl] phosphono hydrogen phosphate","[[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxy-2-oxolanyl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate","[[(2<I>R</I>,3<I>S</I>,4<I>R</I>,5<I>R</I>)-5-(2-amino-6-oxo-1<I>H</I>-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate","[[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate","[[(2R,3S,4R,5R)-5-(2-azanyl-6-oxidanylidene-1H-purin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl] phosphono hydrogen phosphate","[[(2R,3S,4R,5R)-5-(2-amino-6-keto-1H-purin-9-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl] phosphono hydrogen phosphate","InChI=1S/C10H16N5O14P3/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(27-9)1-26-31(22,23)29-32(24,25)28-30(19,20)21/h2-3,5-6,9,16-17H,1H2,(H,22,23)(H,24,25)(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1",XKMLYUALXHKNFT-UUOKFMHZSA-N,-5.7,522.99066119,C10H16N5O14P3,523.18,295,522.99066119,0,32,4,0,0,0,0,1,-1,"1
5
255","25  18  5
18  28  8
18  29  8
19  29  8
19  30  8
20  28  8
20  32  8
21  31  8
21  32  8
26  27  5
28  30  8
30  31  8
23  5  6
24  6  6",[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(=O)n([H])c(N([H])[H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H],XKMLYUALXHKNFT-UUOKFMHZSA-N,,,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
10,135398593,1,377,6,3,2,AAADccBzuAAAAAAAAAAAAAAAAAAAAWJAAAAgAAAAAAAAAEABgAAAHgAQCAAACBzhlgYFsBfMFgCoAQdxdACAgC0XEKABUIGoVECBWApAyCAeQIgPAgLDAGCwMAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,"9-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]-1H-purin-6-one","9-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)-2-oxolanyl]-1H-purin-6-one","9-[(2<I>R</I>,4<I>S</I>,5<I>R</I>)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-1<I>H</I>-purin-6-one","9-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","9-[(2R,4S,5R)-5-(hydroxymethyl)-4-oxidanyl-oxolan-2-yl]-1H-purin-6-one","9-[(2R,4S,5R)-4-hydroxy-5-methylol-tetrahydrofuran-2-yl]hypoxanthine","InChI=1S/C10H12N4O4/c15-2-6-5(16)1-7(18-6)14-4-13-8-9(14)11-3-12-10(8)17/h3-7,15-16H,1-2H2,(H,11,12,17)/t5-,6+,7+/m0/s1",VGONTNSXDCQUGY-RRKCRQDMSA-N,-1.7,252.08585488,C10H12N4O4,252.23,109,252.08585488,0,18,3,0,0,0,0,1,-1,"1
5
255","12  13  6
14  16  8
16  17  8
10  2  5
5  14  8
5  15  8
9  5  6
6  15  8
6  16  8
7  14  8
7  18  8
8  17  8
8  18  8",[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(=O)n([H])c([H])nc32)C([H])([H])[C@]1([H])O[H],VGONTNSXDCQUGY-RRKCRQDMSA-N,,,O=c1[nH]cnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
